Burst Load	EDT	TDT	AASDT
0.1	801958.1300000005	465093.4600000001	460583.33999999985
0.2	1369279.8500000006	846037.9099999991	731666.7500000002
0.3	2046568.9	1194969.3399999994	1276696.2000000004
0.4	2835029.500000001	2019705.39	1608350.5799999996
0.5	2992303.1399999987	2156754.939999997	2203260.69
0.6	4851268.629999997	3680623.580000003	2885755.4899999993
0.7	7136944.619999986	3631869.7	4286406.999999999
0.8	10211632.630000005	6825084.7900000075	5321827.749999995
