Burst Load	EDT	TDT	AASDT
0.1	196070.87803187087	110798.98748347654	102308.95214430895
0.2	311709.9986238056	191234.73121795914	155345.0208007973
0.3	491928.88149665133	293194.8996963782	279761.92848749255
0.4	830472.3740459973	558441.9675911762	412597.568013639
0.5	995725.7870246706	711140.0387188089	633140.8681660405
0.6	1735502.0412016115	1265804.6787004408	930946.6113618579
0.7	2684332.790785711	1319833.8659546175	1405453.3117000188
0.8	4092745.1491374606	2622399.10416751	1848039.6778937746
